id,Name,Url,Loaded,ExpensiveLevel,Category,Claimed,HasWebsite,Stars,Reviews,Photos,MenuCount,MenuStartsCount,MenuReviewsCount,MenuPhotosCount,Attributes Has,AttributesCount,QuestionsCount,OpenHour1,EndHour1,OpenHour2,EndHour2,OpenHour3,EndHour3,OpenHour4,EndHour4,OpenHour5,EndHour5,OpenHour6,EndHour6,OpenHour7,EndHour7
42,,/biz/mei-wei-asian-cuisine-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,/biz/sunmis-sushi-adelaide-2?hrid=cNOwkGtZ6Q0VeT1N81yVKA&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,/biz/young-street-investments-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,/biz/kutchi-deli-parwana-adelaide?hrid=2WGD3qokpG3hR_Uflbp4sw&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,/biz/proof-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,/biz/mings-steam-boat-adelaide?hrid=uVhyOBXJTa_4FbqnQ6PD1g&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,/biz/honki-tonki-adelaide?hrid=zNUoDw4bpbaJVdyXLD_qKQ&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,/biz/penny-university-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,/biz/samtass-bros-seafoods-adelaide-2?hrid=5jMwmcr18DS2tLR-4ChkEg&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,/biz/nishiki-cafe-and-izakaya-adelaide,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,/biz/bread-and-bone-wood-grill-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,/biz/qc-on-angas-adelaide?hrid=LPc51wDvQcPAPIx3RoSnVw&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,/biz/orana-adelaide-2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,/biz/the-flying-pan-highgate?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
